H1,H2,H3,H1lat,H1lng,H2lat,H2lng,H3lat,H3lng,month,during
國軍高雄總醫院附設民眾診療處, 財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.633664,120.487487,22.6460019,120.3095808,22.6496635,120.3561438, 2014-11,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-06,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-08,1
財團法人私立高雄醫學大學附設中和紀念醫院, 高雄榮民總醫院, 財團法人私立高雄醫學大學附設中和紀念醫院,22.6460019,120.3095808,22.677537,120.322504,22.6460019,120.3095808, 2015-04,1
高雄市立岡山醫院, 國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院,22.7967203,120.2946263,22.789421,120.285284,22.7658449,120.3644145, 2015-10,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,1
義大醫療財團法人義大醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立大同醫院,22.7658449,120.3644145,22.6496635,120.3561438,22.6270346,120.2973261, 2015-04,1
健仁醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7237039,120.3291328,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,1
國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院, 高雄榮民總醫院,22.789421,120.285284,22.7658449,120.3644145,22.677537,120.322504, 2016-10,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-01,1
高雄市立聯合醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄榮民總醫院,22.6548642,120.2911822,22.6460019,120.3095808,22.677537,120.322504, 2014-06,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,1
高雄市立民生醫院, 高雄市立小港醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.6266249,120.3235881,22.5674103,120.3633174,22.6496635,120.3561438, 2016-03,1
高雄市立大同醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄榮民總醫院,22.6270346,120.2973261,22.6460019,120.3095808,22.677537,120.322504, 2015-07,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-11,1
天主教聖功醫療財團法人聖功醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄榮民總醫院,22.6333516,120.3239848,22.6460019,120.3095808,22.677537,120.322504, 2015-10,1
高雄市立小港醫院, 長庚醫療財團法人高雄長庚紀念醫院, 義大醫療財團法人義大醫院,22.5674103,120.3633174,22.6496635,120.3561438,22.7658449,120.3644145, 2016-12,1
高雄市立民生醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立民生醫院,22.6266249,120.3235881,22.6496635,120.3561438,22.6266249,120.3235881, 2016-12,1
國軍高雄總醫院岡山分院, 國軍高雄總醫院左營分院, 義大醫療財團法人義大醫院,22.789421,120.285284,22.701404,120.290419,22.7658449,120.3644145, 2015-09,1
高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄榮民總醫院,22.5674103,120.3633174,22.6460019,120.3095808,22.677537,120.322504, 2015-03,1
阮綜合醫療社團法人阮綜合醫院, 國軍高雄總醫院附設民眾診療處, 長庚醫療財團法人高雄長庚紀念醫院,22.615373,120.297852,22.633664,120.487487,22.6496635,120.3561438, 2016-02,1
衛生福利部旗山醫院, 高雄榮民總醫院, 國軍高雄總醫院附設民眾診療處,22.8806447,120.4833323,22.677537,120.322504,22.633664,120.487487, 2016-10,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-07,1
健仁醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7237039,120.3291328,22.7658449,120.3644145,22.7668213,120.365415, 2016-07,1
高雄市立小港醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄榮民總醫院,22.5674103,120.3633174,22.6496635,120.3561438,22.677537,120.322504, 2015-01,1
建佑醫院, 高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院,22.50382,120.38668,22.5674103,120.3633174,22.6460019,120.3095808, 2015-09,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-10,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-03,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-08,1
長庚醫療財團法人高雄長庚紀念醫院, 寶建醫療社團法人寶建醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.6496635,120.3561438,22.681444,120.484332,22.6496635,120.3561438, 2014-01,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-12,1
國軍高雄總醫院左營分院, 義大醫療財團法人義大醫院, 新光醫療財團法人新光吳火獅紀念醫院,22.701404,120.290419,22.7658449,120.3644145,25.0962573,121.5204014, 2015-07,1
衛生福利部旗山醫院, 高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院,22.8806447,120.4833323,22.5674103,120.3633174,22.6460019,120.3095808, 2015-10,1
建佑醫院, 高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院,22.50382,120.38668,22.5674103,120.3633174,22.6460019,120.3095808, 2015-05,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄榮民總醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.677537,120.322504, 2016-02,1
國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.789421,120.285284,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-06,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-12,1
天主教聖功醫療財團法人聖功醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.6333516,120.3239848,22.6460019,120.3095808,22.6496635,120.3561438, 2015-12,1
高雄市立大同醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 屏基醫療財團法人屏東基督教醫院,22.6270346,120.2973261,22.6460019,120.3095808,22.682129,120.502622, 2014-08,1
阮綜合醫療社團法人阮綜合醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.615373,120.297852,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-04,1
高雄市立聯合醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 國立成功大學醫學院附設醫院,22.6548642,120.2911822,22.6460019,120.3095808,23.0019573,120.219643, 2015-11,1
長庚醫療財團法人高雄長庚紀念醫院, 義大醫療財團法人義大醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.6496635,120.3561438,22.7658449,120.3644145,22.6496635,120.3561438, 2014-05,1
國軍高雄總醫院左營分院, 高雄市立聯合醫院, 義大醫療財團法人義大醫院,22.701404,120.290419,22.6548642,120.2911822,22.7658449,120.3644145, 2015-07,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-05,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-10,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 衛生福利部旗山醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.8806447,120.4833323, 2016-03,1
高雄市立小港醫院, 國軍高雄總醫院附設民眾診療處, 阮綜合醫療社團法人阮綜合醫院,22.5674103,120.3633174,22.633664,120.487487,22.615373,120.297852, 2015-09,1
高雄市立岡山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立岡山醫院,22.7967203,120.2946263,22.6496635,120.3561438,22.7967203,120.2946263, 2015-03,1
高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.5674103,120.3633174,22.6460019,120.3095808,22.6496635,120.3561438, 2016-06,1
高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄市立小港醫院,22.5674103,120.3633174,22.6460019,120.3095808,22.5674103,120.3633174, 2015-11,1
健仁醫院, 高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院,22.7237039,120.3291328,22.5674103,120.3633174,22.6460019,120.3095808, 2015-09,1
長庚醫療財團法人高雄長庚紀念醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.6496635,120.3561438,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,1
高雄市立岡山醫院, 高雄榮民總醫院, 高雄市立岡山醫院,22.7967203,120.2946263,22.677537,120.322504,22.7967203,120.2946263, 2016-12,1
天主教聖功醫療財團法人聖功醫院, 國軍高雄總醫院左營分院, 長庚醫療財團法人高雄長庚紀念醫院,22.6333516,120.3239848,22.701404,120.290419,22.6496635,120.3561438, 2015-11,1
杏和醫院, 高雄市立小港醫院, 財團法人私立高雄醫學大學附設中和紀念醫院,22.597673,120.335627,22.5674103,120.3633174,22.6460019,120.3095808, 2015-02,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-10,1
國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.789421,120.285284,22.7658449,120.3644145,22.7668213,120.365415, 2016-06,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-09,1
高雄市立小港醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.5674103,120.3633174,22.7658449,120.3644145,22.7668213,120.365415, 2016-09,1
義大醫療財團法人義大醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄市立大同醫院,22.7658449,120.3644145,22.6460019,120.3095808,22.6270346,120.2973261, 2015-11,1
國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.789421,120.285284,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 衛生福利部旗山醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.8806447,120.4833323, 2015-04,1
健仁醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7237039,120.3291328,22.7658449,120.3644145,22.7668213,120.365415, 2016-07,1
高雄市立大同醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.6270346,120.2973261,22.6460019,120.3095808,22.6496635,120.3561438, 2015-03,1
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-06,1
高雄市立岡山醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.7967203,120.2946263,22.6460019,120.3095808,22.6496635,120.3561438, 2015-06,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-06,1
國軍高雄總醫院岡山分院, 高雄榮民總醫院, 義大醫療財團法人義大醫院,22.789421,120.285284,22.677537,120.322504,22.7658449,120.3644145, 2016-01,1
高雄市立岡山醫院, 高雄榮民總醫院, 義大醫療財團法人義大醫院,22.7967203,120.2946263,22.677537,120.322504,22.7658449,120.3644145, 2015-07,1
天主教聖功醫療財團法人聖功醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6333516,120.3239848,22.6496635,120.3561438,22.6285225,120.3631415, 2015-10,1
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-08,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-04,3
阮綜合醫療社團法人阮綜合醫院, 高雄市立聯合醫院, 高雄榮民總醫院,22.615373,120.297852,22.6548642,120.2911822,22.677537,120.322504, 2014-11,3
財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6460019,120.3095808,22.6496635,120.3561438,22.6285225,120.3631415, 2014-05,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-08,3
義大癌治療醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7668213,120.365415,22.7658449,120.3644145,22.7668213,120.365415, 2016-07,3
高雄市立岡山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7967203,120.2946263,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,3
衛生福利部旗山醫院, 高雄榮民總醫院, 衛生福利部旗山醫院,22.8806447,120.4833323,22.677537,120.322504,22.8806447,120.4833323, 2016-03,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-12,3
高雄市立岡山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7967203,120.2946263,22.7658449,120.3644145,22.7668213,120.365415, 2016-08,3
健仁醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄榮民總醫院,22.7237039,120.3291328,22.6496635,120.3561438,22.677537,120.322504, 2015-07,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-12,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-06,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-01,3
健仁醫院, 高雄榮民總醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.7237039,120.3291328,22.677537,120.322504,22.6496635,120.3561438, 2016-10,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-09,3
高雄市立大同醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6270346,120.2973261,22.6496635,120.3561438,22.6285225,120.3631415, 2014-07,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-06,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-10,3
國軍高雄總醫院岡山分院, 高雄榮民總醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.789421,120.285284,22.677537,120.322504,22.6496635,120.3561438, 2016-06,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-06,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-11,3
健仁醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7237039,120.3291328,22.7658449,120.3644145,22.7668213,120.365415, 2016-09,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-05,3
高雄市立岡山醫院, 高雄榮民總醫院, 財團法人私立高雄醫學大學附設中和紀念醫院,22.7967203,120.2946263,22.677537,120.322504,22.6460019,120.3095808, 2016-06,3
高雄榮民總醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.677537,120.322504,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,3
財團法人私立高雄醫學大學附設中和紀念醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.6460019,120.3095808,22.7658449,120.3644145,22.7668213,120.365415, 2016-06,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,3
健仁醫院, 高雄榮民總醫院, 健仁醫院,22.7237039,120.3291328,22.677537,120.322504,22.7237039,120.3291328, 2016-08,3
邱外科醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 邱外科醫院,22.6145888,120.2973907,22.6460019,120.3095808,22.6145888,120.2973907, 2016-10,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-02,3
高雄榮民總醫院, 衛生福利部旗山醫院, 長庚醫療財團法人高雄長庚紀念醫院,22.677537,120.322504,22.8806447,120.4833323,22.6496635,120.3561438, 2016-09,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-07,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-12,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-07,3
健仁醫院, 長庚醫療財團法人高雄長庚紀念醫院, 國立成功大學醫學院附設醫院,22.7237039,120.3291328,22.6496635,120.3561438,23.0019573,120.219643, 2016-07,3
長庚醫療財團法人高雄長庚紀念醫院, 高雄市立聯合醫院, 高雄榮民總醫院,22.6496635,120.3561438,22.6548642,120.2911822,22.677537,120.322504, 2014-07,3
財團法人私立高雄醫學大學附設中和紀念醫院, 長庚醫療財團法人高雄長庚紀念醫院, 國軍高雄總醫院左營分院,22.6460019,120.3095808,22.6496635,120.3561438,22.701404,120.290419, 2016-05,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-12,3
高雄市立大同醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄市立大同醫院,22.6270346,120.2973261,22.6460019,120.3095808,22.6270346,120.2973261, 2016-08,3
高雄市立聯合醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄市立聯合醫院,22.6548642,120.2911822,22.6460019,120.3095808,22.6548642,120.2911822, 2014-01,3
衛生福利部旗山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.8806447,120.4833323,22.6496635,120.3561438,22.6285225,120.3631415, 2015-01,3
國軍高雄總醫院岡山分院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.789421,120.285284,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,3
天主教聖功醫療財團法人聖功醫院, 長庚醫療財團法人高雄長庚紀念醫院, 天主教聖功醫療財團法人聖功醫院,22.6333516,120.3239848,22.6496635,120.3561438,22.6333516,120.3239848, 2016-02,3
長庚醫療財團法人高雄長庚紀念醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.6496635,120.3561438,22.7658449,120.3644145,22.7668213,120.365415, 2016-10,3
國軍高雄總醫院左營分院, 長庚醫療財團法人高雄長庚紀念醫院, 國立成功大學醫學院附設醫院,22.701404,120.290419,22.6496635,120.3561438,23.0019573,120.219643, 2015-11,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-12,3
高雄榮民總醫院, 國軍高雄總醫院岡山分院, 高雄榮民總醫院,22.677537,120.322504,22.789421,120.285284,22.677537,120.322504, 2014-06,3
高雄市立岡山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7967203,120.2946263,22.7658449,120.3644145,22.7668213,120.365415, 2016-11,3
健仁醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7237039,120.3291328,22.7658449,120.3644145,22.7668213,120.365415, 2016-05,3
衛生福利部旗山醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.8806447,120.4833323,22.7658449,120.3644145,22.7668213,120.365415, 2016-08,3
高雄市立大同醫院, 財團法人私立高雄醫學大學附設中和紀念醫院, 高雄榮民總醫院,22.6270346,120.2973261,22.6460019,120.3095808,22.677537,120.322504, 2015-04,3
義大癌治療醫院, 義大醫療財團法人義大醫院, 義大癌治療醫院,22.7668213,120.365415,22.7658449,120.3644145,22.7668213,120.365415, 2016-09,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-11,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-03,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2015-03,3
高雄市立鳳山醫院, 長庚醫療財團法人高雄長庚紀念醫院, 高雄市立鳳山醫院,22.6285225,120.3631415,22.6496635,120.3561438,22.6285225,120.3631415, 2016-03,3
