Name,Jan-14,Feb-14,Mar-14,Apr-14,May-14,Jun-14,Jul-14,Aug-14,Sep-14,Oct-14,Nov-14,Dec-14,Jan-15,Feb-15,Mar-15,Apr-15,May-15,Jun-15,Jul-15,Aug-15,Sep-15,Oct-15,Nov-15,Dec-15,Jan-16,Feb-16,Mar-16,Apr-16,May-16,Jun-16,Jul-16,Aug-16,Sep-16,Oct-16,Nov-16,Dec-16
高雄市立鳳山醫院,3.4175334,4.454023,2.0667727,1.226158,2.8571429,3.0995106,3.4946237,2.3224044,4.5949214,5.1599587,6.2006764,6.0150376,4.742268,4.1811847,4.6253469,3.5211268,5.0391937,3.8076152,4.7959184,4.8625793,5.7259714,4.8076923,5.0131926,4.5070423,5.0572519,2.7590435,3.7947997,4.3664384,4.3431053,4.954955,3.777336,4.7916667,4.5192308,4.3437205,3.7037037,5.5500496
健仁醫院,1.7984391,1.6428571,1.2613875,1.758886,1.7059891,1.3683432,1.7106731,1.3660104,1.3479053,1.230992,1.4781966,1.7642342,2.1388368,1.2227363,1.0832769,1.8011257,1.6242938,2.0374081,1.9926199,1.7923824,1.9855596,1.8772563,1.5162455,2.3943135,2.1978022,1.7656951,1.3342011,1.9079686,1.6432866,1.4388489,2.1019852,1.9706499,2.0864382,1.5903801,1.8069815,2.190988
國軍高雄總醫院岡山分院附設民眾診療服務處,2.889096,2.0021075,2.1468927,3.4090909,2.3668639,2.1924482,3.1798246,2.8915663,3.3670034,2.4660912,2.2929936,2.9187817,3.8461538,2.2577611,3.3195021,3.9007092,4.5184304,3.1880978,2.2813688,3.4229829,3.9572193,1.8967334,4.3879908,3.7383178,3.8083538,3.5,4.1118421,2.0408163,2.7611044,3.9443155,3.6789298,3.238342,4.2443064,3.7900875,3.2079646,4.0141677
阮綜合醫療社團法人阮綜合醫院,0.4638219,0.3431709,0.5985037,0.4159085,0.2608923,0.425,0.644496,0.5046682,0.5538165,0.393792,0.265188,0.4722222,0.4482072,0.2037905,0.5083179,0.3743449,0.4426955,0.6142506,0.3874968,0.3346203,0.4747626,0.2770723,0.4197967,0.2633469,0.3557875,0.2860027,0.2563555,0.4113346,0.347999,0.2757583,0.3409389,0.3662046,0.3707365,0.5835157,0.4564984,0.6619145
高雄市立大同醫院,0.8816399,1.0013351,0.6041566,0.7967104,0.8401285,0.5704778,1.0835541,1.0062893,1.1968424,0.5926308,0.7271748,1.4714715,1.3243167,1.1571098,1.2780386,1.2085441,1.6314523,1.7287558,1.3165112,1.2061404,1.5669888,1.4128352,1.3796173,1.4300572,1.1235955,1.3051216,0.8790192,1.0629817,0.9325288,1.5056818,1.3573407,1.0294118,0.7126568,1.008225,0.9293157,1.1904762
高雄市立小港醫院,0.9618065,0.8126664,1.0410724,0.9301639,1.0104012,1.317184,1.3732072,1.104,0.9284217,1.225635,1.1290055,1.2341062,0.9815148,0.7777947,1.0789149,0.8191455,1.3017939,1.046145,1.0952539,0.9797181,0.9771987,0.9702757,0.7548265,0.8637236,0.6566304,0.7626738,0.9243493,0.8760592,0.8314679,0.8979592,0.9784736,0.7923129,0.7068803,0.6244289,0.7407407,0.8957655
高雄市立聯合醫院,0.4789513,0.4165646,0.308902,0.2333042,0.6634499,0.3993155,0.8112981,0.21361,0.6300115,0.7396871,0.4331504,0.5074532,0.6449804,0.3328578,0.717772,0.4555117,0.6756757,0.5495878,0.5734983,0.8041171,0.4621606,0.4260652,0.5840072,0.7388463,0.8438819,0.3807546,0.5112474,0.4588325,0.422833,0.8154636,0.6865672,0.6856024,0.4893495,0.6503104,0.3073141,0.495356
國軍高雄總醫院附設民眾診療服務處,0.452099,0.4704301,0.7123776,0.6867795,0.7182576,0.6100422,0.9812667,0.6881243,0.5637467,0.7321944,0.7123162,0.4539723,0.7524272,0.2819345,0.5463287,0.5469462,0.6346328,0.6751055,0.5567929,0.4337349,0.5787037,0.508737,0.5582137,0.3851382,0.5165532,0.7407407,0.433145,0.4659043,0.2747253,0.3757515,0.5077369,0.6045949,0.5855087,0.4459047,0.3570518,0.5773092
國軍高雄總醫院左營分院附設民眾診療服務處,0.5789153,0.1972387,0.6206897,0.8151167,0.7675439,0.4467354,0.8701706,0.8531157,0.6512301,0.7044865,1.0285714,1.0250569,1.0207554,0.5208333,0.5876592,0.4883153,0.5687521,0.6868561,0.8692629,0.6680731,0.886918,0.5766621,0.8792695,0.6451613,0.7985481,0.5816894,0.4901961,0.589391,0.6380716,0.6340261,0.8210742,0.6698921,0.4445964,0.8072654,0.5914972,0.7683864
衛生福利部旗山醫院,2.304316,1.6241299,1.8937987,1.056052,1.0722796,2.3800529,2.4455483,2.8396009,3.4198113,2.6693227,2.7467811,3.7243151,4.0644453,3.27654,3.7077034,3.5662824,2.5085519,3.1437655,3.0220845,2.778913,3.4050881,3.6896158,3.4377387,3.1533307,2.692926,2.1582734,2.6579023,2.3076923,3.9043264,4.2439372,4.4085231,4.3527631,4.1240627,3.5063114,3.7352071,3.8475632
長庚醫療財團法人高雄長庚紀念醫院,0.8765146,1.2115967,1.071802,0.882247,0.9809827,1.2357414,1.3957597,0.9875163,1.0264722,1.0389833,0.7959278,0.8987176,0.9283088,0.48178,0.8805142,0.9390956,0.9013881,1.1507672,1.1685986,0.8140856,1.1306078,1.0299705,1.2240819,1.1624835,1.0998838,0.747247,0.8992132,0.6957518,0.9255255,1.0927529,0.7579859,0.8696474,0.901142,0.76369,0.9944348,0.8281762
財團法人私立高雄醫學大學附設中和紀念醫院,0.3650495,0.2053636,0.239114,0.1567603,0.2199508,0.3298153,0.2035831,0.2074402,0.2104432,0.3651856,0.2906609,0.1687526,0.1796254,0.147409,0.3439381,0.4441061,0.263786,0.4375304,0.5071851,0.2868461,0.3585147,0.4481132,0.6159462,0.5279698,0.4463716,0.2333513,0.2019069,0.205612,0.5956235,0.3585218,0.3802798,0.4010312,0.4759387,0.4186838,0.4173262,0.3278689
高雄榮民總醫院,0.2048393,0.1450805,0.1222992,0.1828154,0.1947691,0.3559226,0.4009164,0.1929929,0.3573556,0.4061189,0.3231967,0.2784653,0.285266,0.2565418,0.3321799,0.2004295,0.2179837,0.3812913,0.5240175,0.3855491,0.3533089,0.3178808,0.5163289,0.286533,0.3989545,0.234375,0.4027155,0.3411676,0.5223681,0.5216411,0.6455234,0.3134796,0.3376002,0.423613,0.3299857,0.596725
義大醫療財團法人義大醫院,0.5483549,0.5293631,0.738255,0.761114,0.6735141,0.7082398,1.2864034,0.8765244,0.6733394,0.8971073,0.5823784,0.8070715,0.8930135,0.6567868,0.7362565,0.6789694,0.7217735,0.7871486,1.1887345,0.7291082,3.4131523,4.1622761,4.2685087,4.3109801,3.3929903,2.2641509,3.2709592,3.194351,3.0488905,3.2335109,3.905812,5.1866801,4.0297122,4.681476,3.600557,6.5039023
