Id,Source,Target,Type,action,weight
45,008D03A5lIYb/pfyk4OZF9LokqbHWw==,高雄市立鳳山醫院,Directed,export,1
46,008D59BCnAq4Kh+I18rF3n8kBjG6DA==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
47,008F0399ge1wuu7UCTBT79wEJldZgA==,義大醫療財團法人義大醫院,Directed,export,1
48,0096382Fv4KicDZ+0/kyvlf5DVHHJw==,建佑醫院,Directed,export,1
49,009BE741wY616DN3kqgWYZNiUZDSOw==,天主教聖功醫療財團法人聖功醫院,Directed,export,1
50,009F4982dT7kzk1AbwcaWQxf1TXdLg==,高雄市立大同醫院,Directed,export,1
51,00A05F0ESJ7sdRj056MMyS4f9shQnQ==,義大醫療財團法人義大醫院,Directed,export,1
52,00A2DF74wY616DN3kqibF2zPhYErKg==,高雄市立小港醫院,Directed,export,1
53,00A4AF302Plu7LGerz9vHd1u2p0T3w==,健仁醫院,Directed,export,1
54,00B64655umkXXadWRB1mvWwVvmSM/Q==,高雄市立大同醫院,Directed,export,1
55,00BA322FpBJd2BI4r3Zh2TtCGHFA8w==,高雄市立大同醫院,Directed,export,1
56,00BA322FpBJd2BI4r3Zh2TtCGHFA8w==,財團法人私立高雄醫學大學附設中和紀念醫院,Directed,export,1
57,00BA322FpBJd2BI4r3Zh2TtCGHFA8w==,高雄市立大同醫院,Directed,export,1
58,00C40B20/WgLuqXtLy1EToC+HKtx2A==,義大醫療財團法人義大醫院,Directed,export,1
59,00C54D6C51IzW3ok1H8bpC+I28WT+g==,天主教聖功醫療財團法人聖功醫院,Directed,export,1
60,00C7E4E1gRBV8btfW7nFRwSLSDNMSA==,高雄市立大同醫院,Directed,export,1
61,00CB6DED7R2c11qgu/Yd++LZCgFBrQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
62,00CB6DED7R2c11qgu/Yd++LZCgFBrQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
63,00CB6DED7R2c11qgu/Yd++LZCgFBrQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
64,00CC36A0pBJd2BI4r3ZuniGuVjOv8w==,高雄榮民總醫院,Directed,export,1
65,00CD1CC7h2uQam0x+4WklyNI0gUToA==,衛生福利部旗山醫院,Directed,export,1
66,00CDB6B0J6LkJt6yamjqbdG/BLsMgA==,高雄市立岡山醫院,Directed,export,1
67,00DE1798lBu9iOVLyqzuMgOZyzSM1A==,國軍高雄總醫院岡山分院,Directed,export,1
68,00E0F531rUoQB5Uu1mwdZgKw4ApKQQ==,高雄市立小港醫院,Directed,export,1
69,00E138C6S7WmEcYn4NZacQu466GFOg==,高雄市立聯合醫院,Directed,export,1
70,00E54D18sCzLaQheRSgQ+V9ZzDFMqQ==,高雄榮民總醫院,Directed,export,1
71,00EC0DD9HNDSHLC4D65nKnSigmENDg==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
72,00EEFEE8U1Ab7OFzH1qqhczuTp2HOQ==,高雄市立鳳山醫院,Directed,export,1
73,00F0F745SBhpL+kaWxaR1yBQkpkFxw==,高雄市立小港醫院,Directed,export,1
74,0104C0ED8p8MDhMy2cTdMgBet/ug/g==,國軍高雄總醫院岡山分院,Directed,export,1
75,0108BC62oyjNhA9fVxBqN/kGa7tgCQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
76,010A37D1z4ngs0a0kgbsDoSZIDtwdw==,國軍高雄總醫院左營分院,Directed,export,1
77,010DE77BfQogpzl2eYCMitHR4iydcA==,義大醫療財團法人義大醫院,Directed,export,1
78,01138835lQGPqtTWcxdbHmihzu82NQ==,義大醫療財團法人義大醫院,Directed,export,1
79,0113CF7BDWaD7gS7ZEW1tIO9DMRLEg==,衛生福利部旗山醫院,Directed,export,1
80,01168269+0G3tzgUh1X+daXivNa/wA==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
81,011E2084yxRtmM73deyyhtXLpw3F3g==,高雄市立大同醫院,Directed,export,1
82,011F78C9GI5mYX6QSqO5oLKKXe+UQg==,國軍高雄總醫院附設民眾診療處,Directed,export,1
83,012570F5nAq4Kh+I18obHGAzgSxmIw==,國軍高雄總醫院岡山分院,Directed,export,1
84,012A4358h9WXeWEkA2s+HQqIfDItLw==,國軍高雄總醫院岡山分院,Directed,export,1
85,012B618BDWaD7gS7ZEVKLYjOfXCkvw==,義大醫療財團法人義大醫院,Directed,export,1
86,012ED247pw+K0Z8bbXU2vIxXs4VovA==,高雄市立岡山醫院,Directed,export,1
87,012F1479rUoQB5Uu1mylQTC233/eDQ==,義大醫療財團法人義大醫院,Directed,export,1
88,01345D5BDWaD7gS7ZEVwK6lTOxdXBQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
89,01392E06K/7156Mz9CRX6sGflDxrhg==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
90,013A7C8BigIAY5q6PlQJMdvXYiefOg==,天主教聖功醫療財團法人聖功醫院,Directed,export,1
91,013B3CB0pBJd2BI4r3alTcIb+fO/uQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
92,013C376CBhhex9MB0B6t6egD//0cgQ==,高雄市立小港醫院,Directed,export,1
93,013EB4C1ZFaX6VKNE4c4xGdK4fRjYQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
94,01413C71Oqf67ocMbHeTHdffRVuvlQ==,衛生福利部旗山醫院,Directed,export,1
95,0142FBD7kAY/MrSZn36wV5MbXt4G6Q==,高雄市立民生醫院,Directed,export,1
96,01453C52SJ7sdRj056OLNisw42DGAA==,義大醫療財團法人義大醫院,Directed,export,1
97,01475645vI5kImb+Uyx5DK8UkhgAOQ==,高雄市立岡山醫院,Directed,export,1
98,01488DEBZgxGJsrm+FgFcGJdKWpOMg==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
99,01512CAFk15+Rf7t2D0Q+xiX1bi8lg==,健仁醫院,Directed,export,1
100,0155B16CDWaD7gS7ZEUJ3/C0rdLsNA==,國軍高雄總醫院岡山分院,Directed,export,1
101,0155DBA0DWaD7gS7ZEXXzNyFjVsQvw==,衛生福利部旗山醫院,Directed,export,1
102,0157938EjJIKB+7MvPIztiZzcVLDoQ==,阮綜合醫療社團法人阮綜合醫院,Directed,export,1
103,01584DD1u9KWPq7OZVRWTGOG+B5tAA==,衛生福利部旗山醫院,Directed,export,1
104,016113E85ACAyzKGkl41hyG9DQxtyQ==,衛生福利部旗山醫院,Directed,export,1
105,0162DEBBoyjNhA9fVxBtsV8Q+12XBA==,高雄榮民總醫院,Directed,export,1
106,01632F0DMdRrY5Zjaf3IxzxYhR8bYQ==,國軍高雄總醫院附設民眾診療處,Directed,export,1
107,01665B52k15+Rf7t2D0e2pdzcvSzMg==,杏和醫院(高雄),Directed,export,1
108,016668EEh2uQam0x+4V4ghc1P6j8Dg==,衛生福利部旗山醫院,Directed,export,1
109,016703FAge1wuu7UCTDK6t7PRGzfwQ==,衛生福利部旗山醫院,Directed,export,1
110,0167D227fQogpzl2eYAVJQv3sEx7YA==,高雄市立大同醫院,Directed,export,1
111,01696BF5xtqGdxSBUxu6estbvTvK0g==,國軍高雄總醫院附設民眾診療處,Directed,export,1
112,016F9FE2frGlwmI/v2ysBqqAqmGItg==,國軍高雄總醫院附設民眾診療處,Directed,export,1
113,0173B6B7vGPgSi9FeAKXmr0Cxwlz/w==,高雄市立岡山醫院,Directed,export,1
114,0174732DIt/ImrxV6II03WsoOAMSvg==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
115,017794E0lBu9iOVLyqxdw4zc4TPncg==,高雄市立岡山醫院,Directed,export,1
116,0177A7921s/7YYkHUaJYXUGrQPip9A==,高雄市立鳳山醫院,Directed,export,1
117,0177C09Dz2uzR7WwsCFC5mAN5rGiKg==,衛生福利部旗山醫院,Directed,export,1
118,01796030O/WWGcGAaCgXXqP8SZ/LIQ==,阮綜合醫療社團法人阮綜合醫院,Directed,export,1
119,017AFA1Eh2uQam0x+4Xug4dqywX2Zw==,高雄市立鳳山醫院,Directed,export,1
120,017DC9A6d5tYJMFKkGIIR2kb56Ms6g==,衛生福利部旗山醫院,Directed,export,1
121,018836CDL2aoLTPZYR2Q+J8r8c51Og==,高雄市立大同醫院,Directed,export,1
122,018F3E07U1Ab7OFzH1rD+PF9et5OTw==,義大醫療財團法人義大醫院,Directed,export,1
123,01909FBCfVXHWiDlG3kj91z18Hc+7w==,高雄市立岡山醫院,Directed,export,1
124,019438F8j20tiKcOJNQU4WPrg6eJ6A==,義大醫療財團法人義大醫院,Directed,export,1
125,019438F8j20tiKcOJNQU4WPrg6eJ6A==,義大醫療財團法人義大醫院,Directed,export,1
126,019438F8j20tiKcOJNQU4WPrg6eJ6A==,義大醫療財團法人義大醫院,Directed,export,1
127,01987377bqUTjqO2b/2Pvw1IXqKDnQ==,高雄榮民總醫院,Directed,export,1
128,019A0697uxPQVWaqtLcP+AEKnfmewg==,高雄市立聯合醫院,Directed,export,1
129,019F2DF0U1Ab7OFzH1pAb88oOzbmEA==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
130,01A0B0E2h3RWkEtJd+t/suJl+8iJcQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
131,01A206D6XTN0ktlTBFVFzg4Bh0e3Aw==,高雄市立小港醫院,Directed,export,1
132,01A908A4CH/tMmf1wnG6oCXJaaLA6g==,高雄市立小港醫院,Directed,export,1
133,01B2183Dh3RWkEtJd+uW5YiYz+jWvA==,國軍高雄總醫院附設民眾診療處,Directed,export,1
134,01C08650i3o0Ptw7l5Ttyt2l3RPd4w==,高雄市立大同醫院,Directed,export,1
135,01C561E72qhFB6kraWVtX9Aet2DJWQ==,高雄市立大同醫院,Directed,export,1
136,01C811BF8+3qpO/z404aLyXU2EdEgQ==,國軍高雄總醫院左營分院,Directed,export,1
137,01C81BDEV1tKDO6KVMKLbe3iiHqLiw==,高雄市立鳳山醫院,Directed,export,1
138,01C8C2CEU1Ab7OFzH1rHTDQV/IS6Mw==,義大醫療財團法人義大醫院,Directed,export,1
139,01CA6DABwY616DN3kqj7pg0pgo0SHQ==,衛生福利部旗山醫院,Directed,export,1
140,01CC91038+TehtTA7X4rkdHUT/Oxmg==,義大醫療財團法人義大醫院,Directed,export,1
141,01D055FC//KKqGF9d/jm1u62R/Nk+w==,財團法人私立高雄醫學大學附設中和紀念醫院,Directed,export,1
142,01D2489DkdpSho6/xPhNMY2YHQvlPw==,義大醫療財團法人義大醫院,Directed,export,1
143,01D6AC48o2OpBK0BlQ6tQm1mAKmgEg==,健仁醫院,Directed,export,1
144,01D8FB2CU1Ab7OFzH1qa34IaqXxQyg==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
145,01DE9CF422jaPW9vHuoiYw3NPSd7GA==,健仁醫院,Directed,export,1
146,01DFF512z4ngs0a0kgZFG0eGQNJdnQ==,健仁醫院,Directed,export,1
147,01E289DDnAq4Kh+I18pwlfgHG86MtQ==,義大醫療財團法人義大醫院,Directed,export,1
148,01E30E51nrm8WSfFuxf+9cOIRtzBFw==,義大醫療財團法人義大醫院,Directed,export,1
149,01E3F4677R2c11qgu/bSBEDBiwBDCA==,義大醫療財團法人義大醫院,Directed,export,1
150,01ECD116yxRtmM73dezWKrRHS9OI8Q==,義大醫療財團法人義大醫院,Directed,export,1
151,01F3B7038+TehtTA7X5jSGr0MUQBYw==,義大醫療財團法人義大醫院,Directed,export,1
152,01F5A6C8wY616DN3kqgfl6gBhzVVgA==,衛生福利部旗山醫院,Directed,export,1
153,01F7A6DEbuM4IIp3eDWlzMrIV4lIow==,建佑醫院,Directed,export,1
154,01F9C4ECCrRsv27y28j4PnZAx1Rtjw==,高雄市立鳳山醫院,Directed,export,1
155,01FBB91FG3eJZHP+LGkLxHrNVcq6Sg==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
156,01FFE5C6kdpSho6/xPjxoQN/WRjdEA==,高雄榮民總醫院,Directed,export,1
157,020169A2/WgLuqXtLy1pI76hE6pxYQ==,健仁醫院,Directed,export,1
158,02017745d5tYJMFKkGI+CzqbPOxcQQ==,國軍高雄總醫院岡山分院,Directed,export,1
159,020486BDxtqGdxSBUxvhN7AxCF0oNQ==,高雄市立鳳山醫院,Directed,export,1
160,020486BDxtqGdxSBUxvhN7AxCF0oNQ==,高雄市立鳳山醫院,Directed,export,1
161,0208265FMbF+8Cuvg7gdIVshLqpLmA==,國軍高雄總醫院附設民眾診療處,Directed,export,1
162,020A7D7AmdgIlLPKjf4Di5siLxM6BQ==,財團法人私立高雄醫學大學附設中和紀念醫院,Directed,export,1
163,020D6BA3LVRNc2xXBfkdxeMH5b7EMQ==,高雄市立鳳山醫院,Directed,export,1
164,020D9AC35ACAyzKGkl6uBq7DVFKNGQ==,衛生福利部旗山醫院,Directed,export,1
165,0210B1A9A4iHmj/hn+F0TlETcerRuw==,高雄市立大同醫院,Directed,export,1
166,021251FBh2uQam0x+4VXVtsPdxKa/g==,義大醫療財團法人義大醫院,Directed,export,1
167,021275F1xtqGdxSBUxtK+0dNSLcoDQ==,高雄市立岡山醫院,Directed,export,1
168,02182DCEK/7156Mz9CReb96gj9cWJQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
169,0218517A7R2c11qgu/bzdeL5ANV7kQ==,高雄市立鳳山醫院,Directed,export,1
170,021CB009vGPgSi9FeAKAfOP3dC6skA==,義大醫療財團法人義大醫院,Directed,export,1
171,0221DBD1nAq4Kh+I18pD1aBouMEGzA==,義大醫療財團法人義大醫院,Directed,export,1
172,02270657gRhHYPPogHGdYSWXDq0G6g==,杏和醫院(高雄),Directed,export,1
173,0227C0B7igIAY5q6PlQFDF/tDZsvWw==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
174,022C52A6SjPnGiXD/y0Ngseouu5oIQ==,衛生福利部旗山醫院,Directed,export,1
175,022DED8BU1Ab7OFzH1pmILchhTZoeg==,天主教聖功醫療財團法人聖功醫院,Directed,export,1
176,022EBBDFnAq4Kh+I18ol+hQ/fsF9fw==,國軍高雄總醫院岡山分院,Directed,export,1
177,02331644wY616DN3kqg4ttbzFZd9vw==,高雄市立岡山醫院,Directed,export,1
178,023C4EB6//KKqGF9d/jMQTHn6py24Q==,高雄市立民生醫院,Directed,export,1
179,0240BE82d8g+Fci7YqnzF01SAZLU3A==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
180,02444BBFMN7bDif4e6imleAY11UuGw==,義大醫療財團法人義大醫院,Directed,export,1
181,02480403sx+MAupUbm3u6xtvv01w2g==,天主教聖功醫療財團法人聖功醫院,Directed,export,1
182,024926966DhYKJNQ+Qnrhgkf5WjolQ==,義大醫療財團法人義大醫院,Directed,export,1
183,024CB2AAosRRy2TBEdSPZ66/QxvDdg==,阮綜合醫療社團法人阮綜合醫院,Directed,export,1
184,024EE136fQogpzl2eYB3QzRsda2fGA==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
185,0253EC4Bh2uQam0x+4WkGDeZwHWOig==,衛生福利部旗山醫院,Directed,export,1
186,0258C83Bz4ngs0a0kgbC924dSs3YoA==,國軍高雄總醫院左營分院,Directed,export,1
187,025D0D6FFD4L5fVcVIEx+uFvP6Dskg==,高雄市立大同醫院,Directed,export,1
188,02630DCC6DhYKJNQ+QkXzBF4HzIYgQ==,高雄市立岡山醫院,Directed,export,1
189,02679B8BsA8tr+pVUazLjKbTSbtbaw==,高雄市立民生醫院,Directed,export,1
190,026AA7A1nAq4Kh+I18ooI3S94nizsw==,高雄市立岡山醫院,Directed,export,1
191,026F5D8DU1Ab7OFzH1oZn5FHgsnpfg==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
192,0273B4AEj20tiKcOJNTzfPm4zGnPLQ==,高雄市立大同醫院,Directed,export,1
193,027E4239u9KWPq7OZVSu3hyd4IpcOg==,高雄市立小港醫院,Directed,export,1
194,027F279AS7WmEcYn4NafmXe2LdHlZA==,高雄榮民總醫院,Directed,export,1
195,027FC709rUoQB5Uu1mxfcJD339O10Q==,義大醫療財團法人義大醫院,Directed,export,1
196,028359D2kNta5b3JMcJKlAD0NcCipw==,高雄榮民總醫院,Directed,export,1
197,0286C03EbqUTjqO2b/1rhjVYA7aQIQ==,高雄市立聯合醫院,Directed,export,1
198,028906B9saisl6xyHX+fiymFFP2TZw==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
199,028B1865ZFaX6VKNE4eRjhwCcbEGPg==,義大醫療財團法人義大醫院,Directed,export,1
200,028F737EkdpSho6/xPhNennB69h3Cw==,高雄市立大同醫院,Directed,export,1
201,029696AFnAq4Kh+I18qWAwyplX7V1Q==,高雄市立岡山醫院,Directed,export,1
202,0297C3ADosRRy2TBEdRXEd5voEKHvg==,高雄市立聯合醫院,Directed,export,1
203,0298E766umkXXadWRB1Zgi8XVFlXAQ==,國軍高雄總醫院岡山分院,Directed,export,1
204,029BDDDAz4ngs0a0kgbSMUqeSEJVyg==,高雄市立岡山醫院,Directed,export,1
205,02A49CE0It/ImrxV6ILpXT6RbbXFEQ==,大東醫院,Directed,export,1
206,02A596D2o/5egMwmDRNkD0VHPvMoPQ==,阮綜合醫療社團法人阮綜合醫院,Directed,export,1
207,02A7F7ADsA8tr+pVUawtkaHGE8A5RQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
208,02A8EB8CU1Ab7OFzH1qclQ9rKaEhLQ==,高雄市立民生醫院,Directed,export,1
209,02AA42D2YveGy8NLxrT0ca+4VF//jA==,義大醫療財團法人義大醫院,Directed,export,1
210,02AEC1F1/qZSGYrDMZI0gJQ6+qveCA==,衛生福利部旗山醫院,Directed,export,1
211,02AF3339hpJJQ/m1YxwPGDlESw7Szw==,義大醫療財團法人義大醫院,Directed,export,1
212,02B12F5FumkXXadWRB0Sr0wRexhtiw==,高雄市立聯合醫院,Directed,export,1
213,02B1E755S7WmEcYn4NY/25Y0DPqx+Q==,高雄市立聯合醫院,Directed,export,1
214,02B73A00gqOGuJTtfziJJDMgAm85TA==,高雄市立小港醫院,Directed,export,1
215,02BCC5D4/WgLuqXtLy0gZS9aX8+skg==,義大醫療財團法人義大醫院,Directed,export,1
216,02BCE0FADscTFdfws4Tvfq6EFNyCBg==,財團法人私立高雄醫學大學附設中和紀念醫院,Directed,export,1
217,02BFD369lBu9iOVLyqy266FFY6hMuw==,衛生福利部旗山醫院,Directed,export,1
218,02C1F5D0z4ngs0a0kgaYex3fnT1oXQ==,高雄市立聯合醫院,Directed,export,1
219,02C566EEMbF+8Cuvg7ifzLgn2ho6dw==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
220,02C61DBEosRRy2TBEdRVcH/ZVhUueA==,高雄市立聯合醫院,Directed,export,1
221,02C7DB02d5tYJMFKkGLzr/ELdXP0RA==,高雄市立岡山醫院,Directed,export,1
222,02CF02957ov813e/nzSfw7loQ1wY7g==,邱外科醫院,Directed,export,1
223,02D1B751hsP9luX6apISdX6IAPzWIA==,義大醫療財團法人義大醫院,Directed,export,1
224,02D1F8CA8+3qpO/z405+te40dtUo5g==,高雄市立大同醫院,Directed,export,1
225,02D37EB7DWaD7gS7ZEW2KTqCDBhyKg==,衛生福利部旗山醫院,Directed,export,1
226,02D64132d5tYJMFKkGL9AryeY89MGw==,衛生福利部旗山醫院,Directed,export,1
227,02DA60E1KyJZGhCEcI8QkzM/AEZ/Zw==,高雄市立岡山醫院,Directed,export,1
228,02DDA1CCuxPQVWaqtLdQCVlxi2xHHA==,天主教聖功醫療財團法人聖功醫院,Directed,export,1
229,02E2EC36igIAY5q6PlREMgbStEiCgA==,義大醫療財團法人義大醫院,Directed,export,1
230,02E8D6117NbJzxiBy5UHt3wGg2KzIw==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
231,02EA26CBpBJd2BI4r3ZOfOJbtdzvAw==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
232,02EBFEF5q0/295go2nSvBnAujt272A==,高雄市立小港醫院,Directed,export,1
233,02ED9378sF95E+xhs3hB4sy921nuTQ==,義大醫療財團法人義大醫院,Directed,export,1
234,02F1A1C2gqOGuJTtfzjT35VXSeR6og==,衛生福利部屏東醫院,Directed,export,1
235,02F23812lBu9iOVLyqyz6C5Gny2Dew==,天主教聖功醫療財團法人聖功醫院,Directed,export,1
236,02F73BE1lBu9iOVLyqzaosau66Y0ZQ==,杏和醫院(高雄),Directed,export,1
237,02FBA0D1bqUTjqO2b/3W3xqMdhVuYw==,義大醫療財團法人義大醫院,Directed,export,1
238,02FD0B6BlQGPqtTWcxfLJyFPC2pmCQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
239,02FEF300uxPQVWaqtLc8JxqsMHRP4Q==,國軍高雄總醫院附設民眾診療處,Directed,export,1
240,030AD0FFsaisl6xyHX8GkfNbCtSkUg==,杏和醫院(高雄),Directed,export,1
241,030E65BDZgxGJsrm+FgrBU0VW6SXyA==,義大醫療財團法人義大醫院,Directed,export,1
242,0311061FyxRtmM73dewavI1cQzVcwA==,高雄市立大同醫院,Directed,export,1
243,031435CByDC3ipk7Qg4qIUo7/16v9A==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
244,0317E1A0hSYDgHa1m/74fQqZlVF5jQ==,財團法人私立高雄醫學大學附設中和紀念醫院,Directed,export,1
245,0317E1A0hSYDgHa1m/74fQqZlVF5jQ==,財團法人私立高雄醫學大學附設中和紀念醫院,Directed,export,1
246,03194943h2uQam0x+4XZ9T+kZYAFIQ==,衛生福利部旗山醫院,Directed,export,1
247,0319DDD1h2uQam0x+4UVuhN7oiARMg==,衛生福利部旗山醫院,Directed,export,1
248,031F78E0yxRtmM73dezU38kl9xaw8g==,高雄市立民生醫院,Directed,export,1
249,03226FA3x7LbUSaKV+BjHC2CHHi6Bw==,高雄市立岡山醫院,Directed,export,1
250,032338E2gje+pTksePK64F8LpKt06A==,高雄市立聯合醫院,Directed,export,1
251,0325324DL2aoLTPZYR1Xy0jFNk17yg==,阮綜合醫療社團法人阮綜合醫院,Directed,export,1
252,03267082d5tYJMFKkGLwmM7qbaII7Q==,高雄市立岡山醫院,Directed,export,1
253,032B94E5fi8l/Y3MoML5ronxu/wVDQ==,衛生福利部旗山醫院,Directed,export,1
254,032DAB20wY616DN3kqhQDH82yUUmyA==,義大醫療財團法人義大醫院,Directed,export,1
255,032EFC6E0szAegaDBLR3m2CWm/PZ/g==,衛生福利部旗山醫院,Directed,export,1
256,0333BBF52qhFB6kraWUewL311OMZnw==,義大醫療財團法人義大醫院,Directed,export,1
257,03397D5EfocO9YE80yLmJJkJ0CbnFQ==,長庚醫療財團法人高雄長庚紀念醫院,Directed,export,1
258,033A4EA5wcnW9Dvi8h/sC8QbVKUDSg==,義大醫療財團法人義大醫院,Directed,export,1
259,033FB7C86DhYKJNQ+QkQbiRxb6fQYw==,高雄榮民總醫院,Directed,export,1
260,03522AA5U1Ab7OFzH1prgMQWyvMI/g==,建佑醫院,Directed,export,1
261,0354759EMPXc6laRGbZGngIff2mWWw==,衛生福利部旗山醫院,Directed,export,1
